date,country,year,quarter,hpi,hpi_target_1q,inflation_yoy,unemployment_rate,housing_overburden_rate,ecb_main_refinancing_rate,hpi_lag_1,hpi_lag_2,hpi_lag_3,hpi_lag_4,hpi_lag_8,hpi_qoq_growth,hpi_yoy_growth,hpi_rolling_mean_4,hpi_rolling_std_4,hpi_rolling_mean_8,inflation_yoy_lag_1,inflation_yoy_lag_2,inflation_yoy_lag_4,unemployment_rate_lag_1,unemployment_rate_lag_2,unemployment_rate_lag_4,housing_overburden_rate_lag_1,housing_overburden_rate_lag_2,housing_overburden_rate_lag_4,ecb_main_refinancing_rate_lag_1,ecb_main_refinancing_rate_lag_2,ecb_main_refinancing_rate_lag_4,unemployment_change_1q,ecb_rate_change_1q,inflation_change_1q
2016-01-01,Alemania,2016,1,103.9,106.9,0.1347708894878563,4.0,15.8,0.05,101.8,100.4,99.9,97.8,93.8,2.062868369351678,6.2372188139059315,101.5,1.7907168024751683,98.98750000000001,0.5369127516778649,1.070234113712365,-0.1345895020188336,4.3,4.2,4.5,15.6,15.6,15.6,0.05,0.05,0.05,-0.2999999999999998,0.0,-0.4021418621900086
2016-04-01,Alemania,2016,2,106.9,108.8,-0.0995685363425202,4.0,15.8,0.0,103.9,101.8,100.4,99.9,95.7,2.887391722810384,7.0070070070070045,103.25,2.8266588050205685,100.3875,0.1347708894878563,0.5369127516778649,1.2432795698924748,4.0,4.3,4.4,15.8,15.6,15.6,0.05,0.05,0.05,0.0,-0.05,-0.23433942583037648
2016-07-01,Alemania,2016,3,108.8,110.4,0.3970880211780159,3.8,15.8,0.0,106.9,103.9,101.8,100.4,96.2,1.7773620205799645,8.366533864541825,105.35000000000001,3.109662361093309,101.96249999999999,-0.0995685363425202,0.1347708894878563,1.070234113712365,4.0,4.0,4.2,15.8,15.8,15.6,0.0,0.05,0.05,-0.20000000000000018,0.0,0.4966565575205361
2016-10-01,Alemania,2016,4,110.4,110.9,1.0347129506007802,3.7,15.8,0.0,108.8,106.9,103.9,101.8,96.2,1.4705882352941346,8.447937131630656,107.5,2.7940412786262163,103.73750000000001,0.3970880211780159,-0.0995685363425202,0.5369127516778649,3.8,4.0,4.3,15.8,15.8,15.6,0.0,0.0,0.05,-0.09999999999999964,0.0,0.6376249294227643
2017-01-01,Alemania,2017,1,110.9,113.1,1.7833109017496571,3.7,14.5,0.0,110.4,108.8,106.9,103.9,97.8,0.45289855072463414,6.737247353224252,109.25000000000001,1.804623691152086,105.375,1.0347129506007802,0.3970880211780159,0.1347708894878563,3.7,3.8,4.0,15.8,15.8,15.8,0.0,0.0,0.05,0.0,0.0,0.748597951148877
2017-04-01,Alemania,2017,2,113.1,115.0,1.661129568106312,3.6,14.5,0.0,110.9,110.4,108.8,106.9,99.9,1.9837691614066566,5.799812909260971,110.8,1.7757627469158648,107.025,1.7833109017496571,1.0347129506007802,-0.0995685363425202,3.7,3.7,4.0,14.5,15.8,15.8,0.0,0.0,0.0,-0.10000000000000009,0.0,-0.12218133364334505
2017-07-01,Alemania,2017,3,115.0,117.3,1.8127883981542412,3.5,14.5,0.0,113.1,110.9,110.4,108.8,100.4,1.6799292661361598,5.698529411764719,112.35,2.1205345238094186,108.85000000000001,1.661129568106312,1.7833109017496571,0.3970880211780159,3.6,3.7,3.8,14.5,14.5,15.8,0.0,0.0,0.0,-0.10000000000000009,0.0,0.15165883004792913
2017-10-01,Alemania,2017,4,117.3,118.3,1.5526924347538884,3.4,14.5,0.0,115.0,113.1,110.9,110.4,101.8,2.0000000000000018,6.25,114.075,2.725649769627015,110.7875,1.8127883981542412,1.661129568106312,1.0347129506007802,3.5,3.6,3.7,14.5,14.5,15.8,0.0,0.0,0.0,-0.10000000000000009,0.0,-0.2600959634003528
2018-01-01,Alemania,2018,1,118.3,120.6,1.454545454545464,3.2,14.2,0.0,117.3,115.0,113.1,110.9,103.9,0.8525149190110826,6.672678088367889,115.925,2.3357725345877913,112.58749999999999,1.5526924347538884,1.8127883981542412,1.7833109017496571,3.4,3.5,3.7,14.5,14.5,14.5,0.0,0.0,0.0,-0.19999999999999973,0.0,-0.0981469802084245
2018-04-01,Alemania,2018,2,120.6,123.1,1.928104575163392,3.3,14.2,0.0,118.3,117.3,115.0,113.1,106.9,1.9442096365173356,6.6312997347480085,117.8,2.3223551264470474,114.3,1.454545454545464,1.5526924347538884,1.661129568106312,3.2,3.4,3.6,14.2,14.5,14.5,0.0,0.0,0.0,0.09999999999999964,0.0,0.47355912061792815
2018-07-01,Alemania,2018,3,123.1,124.6,2.201359663321467,3.1,14.2,0.0,120.6,118.3,117.3,115.0,108.8,2.072968490878946,7.043478260869551,119.825,2.5837634050615192,116.0875,1.928104575163392,1.454545454545464,1.8127883981542412,3.3,3.2,3.5,14.2,14.2,14.5,0.0,0.0,0.0,-0.19999999999999973,0.0,0.2732550881580751
2018-10-01,Alemania,2018,4,124.6,124.6,2.1470396877033338,3.1,14.2,0.0,123.1,120.6,118.3,117.3,110.4,1.2185215272136452,6.223358908780896,121.64999999999999,2.776688675383312,117.8625,2.201359663321467,1.928104575163392,1.5526924347538884,3.1,3.3,3.4,14.2,14.2,14.5,0.0,0.0,0.0,0.0,0.0,-0.0543199756181334
2019-01-01,Alemania,2019,1,124.6,127.8,1.5640273704790042,3.0,13.9,0.0,124.6,123.1,120.6,118.3,110.9,0.0,5.3254437869822535,123.225,1.8874586088182337,119.57499999999999,2.1470396877033338,2.201359663321467,1.454545454545464,3.1,3.1,3.2,14.2,14.2,14.2,0.0,0.0,0.0,-0.10000000000000009,0.0,-0.5830123172243296
2019-04-01,Alemania,2019,2,127.8,129.6,1.6672010259698666,2.9,13.9,0.0,124.6,124.6,123.1,120.6,113.1,2.5682182985553803,5.970149253731338,125.025,1.9805302320343954,121.4125,1.5640273704790042,2.1470396877033338,1.928104575163392,3.0,3.1,3.3,13.9,14.2,14.2,0.0,0.0,0.0,-0.10000000000000009,0.0,0.10317365549086244
2019-07-01,Alemania,2019,3,129.6,132.7,1.0136205258156394,2.9,13.9,0.0,127.8,124.6,124.6,123.1,115.0,1.4084507042253502,5.280259951259136,126.64999999999999,2.4785748593366494,123.23749999999998,1.6672010259698666,1.5640273704790042,2.201359663321467,2.9,3.0,3.1,13.9,13.9,14.2,0.0,0.0,0.0,0.0,0.0,-0.6535805001542272
2019-10-01,Alemania,2019,4,132.7,133.8,1.178343949044569,3.0,13.9,0.0,129.6,127.8,124.6,124.6,117.3,2.3919753086419693,6.5008025682183,128.675,3.3875999370256014,125.1625,1.0136205258156394,1.6672010259698666,2.1470396877033338,2.9,2.9,3.1,13.9,13.9,14.2,0.0,0.0,0.0,0.10000000000000009,0.0,0.16472342322892963
2020-01-01,Alemania,2020,1,133.8,136.2,1.5720243824189906,3.3,9.0,0.0,132.7,129.6,127.8,124.6,118.3,0.8289374529012905,7.383627608346721,130.975,2.7645071893563222,127.1,1.178343949044569,1.0136205258156394,1.5640273704790042,3.0,2.9,3.0,13.9,13.9,13.9,0.0,0.0,0.0,0.2999999999999998,0.0,0.3936804333744215
2020-04-01,Alemania,2020,2,136.2,140.3,0.6937874487543461,3.6,9.0,0.0,133.8,132.7,129.6,127.8,120.6,1.7937219730941534,6.572769953051627,133.075,2.7390691849609943,129.05,1.5720243824189906,1.178343949044569,1.6672010259698666,3.3,3.0,2.9,9.0,13.9,13.9,0.0,0.0,0.0,0.30000000000000027,0.0,-0.8782369336646445
2020-07-01,Alemania,2020,3,140.3,144.3,-0.156788962057075,3.9,9.0,0.0,136.2,133.8,132.7,129.6,123.1,3.010279001468441,8.256172839506192,135.75,3.36699668349549,131.2,0.6937874487543461,1.5720243824189906,1.0136205258156394,3.6,3.3,2.9,9.0,9.0,13.9,0.0,0.0,0.0,0.2999999999999998,0.0,-0.8505764108114211
2020-10-01,Alemania,2020,4,144.3,146.3,-0.5980484734025793,3.7,9.0,0.0,140.3,136.2,133.8,132.7,124.6,2.851033499643618,8.741522230595344,138.65,4.624932431939188,133.6625,-0.156788962057075,0.6937874487543461,1.178343949044569,3.9,3.6,3.0,9.0,9.0,13.9,0.0,0.0,0.0,-0.19999999999999973,0.0,-0.4412595113455043
2021-01-01,Alemania,2021,1,146.3,151.8,1.7372078332280383,3.9,11.0,0.0,144.3,140.3,136.2,133.8,124.6,1.3860013860013787,9.342301943198805,141.775,4.476140450581984,136.375,-0.5980484734025793,-0.156788962057075,1.5720243824189906,3.7,3.9,3.3,9.0,9.0,9.0,0.0,0.0,0.0,0.19999999999999973,0.0,2.3352563066306176
2021-04-01,Alemania,2021,2,151.8,158.2,2.1609771374882625,3.7,11.0,0.0,146.3,144.3,140.3,136.2,127.8,3.759398496240607,11.453744493392094,145.675,4.784959073318826,139.375,1.7372078332280383,-0.5980484734025793,0.6937874487543461,3.9,3.7,3.6,11.0,9.0,9.0,0.0,0.0,0.0,-0.19999999999999973,0.0,0.4237693042602242
2021-07-01,Alemania,2021,3,158.2,162.5,3.5175879396984966,3.4,11.0,0.0,151.8,146.3,144.3,140.3,129.6,4.216073781291163,12.75837491090519,150.15,6.233511583904326,142.95000000000002,2.1609771374882625,1.7372078332280383,-0.156788962057075,3.7,3.9,3.9,11.0,11.0,9.0,0.0,0.0,0.0,-0.30000000000000027,0.0,1.3566108022102341
2021-10-01,Alemania,2021,4,162.5,164.1,5.446485117162769,3.4,11.0,0.0,158.2,151.8,146.3,144.3,132.7,2.718078381795208,12.612612612612594,154.7,7.119456908126455,146.675,3.5175879396984966,2.1609771374882625,-0.5980484734025793,3.4,3.7,3.7,11.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,1.9288971774642727
2022-01-01,Alemania,2022,1,164.1,167.4,6.08506674945668,3.1,11.9,0.0,162.5,158.2,151.8,146.3,133.8,0.9846153846153838,12.166780587833204,159.15,5.496968861715498,150.4625,5.446485117162769,3.5175879396984966,1.7372078332280383,3.4,3.4,3.9,11.0,11.0,11.0,0.0,0.0,0.0,-0.2999999999999998,0.0,0.6385816322939109
2022-04-01,Alemania,2022,2,167.4,166.3,8.277130594727167,3.1,11.9,0.0,164.1,162.5,158.2,151.8,136.2,2.010968921389411,10.276679841897218,163.05,3.8231749458624176,154.3625,6.08506674945668,5.446485117162769,2.1609771374882625,3.1,3.4,3.7,11.9,11.0,11.0,0.0,0.0,0.0,0.0,0.0,2.1920638452704866
2022-07-01,Alemania,2022,3,166.3,158.5,9.40533980582523,3.2,11.9,0.5,167.4,164.1,162.5,158.2,140.3,-0.6571087216248439,5.120101137800259,165.075,2.197536499508058,157.6125,8.277130594727167,6.08506674945668,3.5175879396984966,3.1,3.1,3.4,11.9,11.9,11.0,0.0,0.0,0.0,0.10000000000000009,0.5,1.1282092110980635
2022-10-01,Alemania,2022,4,158.5,153.7,10.81081081081081,3.1,11.9,1.25,166.3,167.4,164.1,162.5,144.3,-4.690318701142515,-2.4615384615384595,164.075,3.9617967304414745,159.3875,9.40533980582523,8.277130594727167,5.446485117162769,3.2,3.1,3.4,11.9,11.9,11.0,0.5,0.0,0.0,-0.10000000000000009,0.75,1.4054710049855803
2023-01-01,Alemania,2023,1,153.7,151.6,8.721100380450686,3.0,13.0,2.5,158.5,166.3,167.4,164.1,146.3,-3.0283911671924346,-6.337599024984764,161.475,6.523994175350209,160.3125,10.81081081081081,9.40533980582523,6.08506674945668,3.1,3.2,3.1,11.9,11.9,11.9,1.25,0.5,0.0,-0.10000000000000009,1.25,-2.0897104303601246
2023-04-01,Alemania,2023,2,151.6,149.3,6.879954699886737,3.0,13.0,3.5,153.7,158.5,166.3,167.4,151.8,-1.3662979830839306,-9.438470728793313,157.525,6.523994175350209,160.2875,8.721100380450686,10.81081081081081,8.277130594727167,3.0,3.1,3.1,13.0,11.9,11.9,2.5,1.25,0.0,0.0,1.0,-1.8411456805639492
2023-07-01,Alemania,2023,3,149.3,146.4,5.740432612312807,3.1,13.0,4.25,151.6,153.7,158.5,166.3,158.2,-1.517150395778355,-10.222489476849073,153.275,3.91950251945363,159.17499999999998,6.879954699886737,8.721100380450686,9.40533980582523,3.0,3.0,3.2,13.0,13.0,11.9,3.5,2.5,0.5,0.10000000000000009,0.75,-1.1395220875739298
2023-10-01,Alemania,2023,4,146.4,145.8,3.0081300813008083,3.2,13.0,4.5,149.3,151.6,153.7,158.5,162.5,-1.942397856664435,-7.634069400630916,150.25,3.1331560233524938,157.1625,5.740432612312807,6.879954699886737,10.81081081081081,3.1,3.0,3.1,13.0,13.0,11.9,4.25,3.5,1.25,0.10000000000000009,0.25,-2.7323025310119986
2024-01-01,Alemania,2024,1,145.8,147.8,2.718707940780618,3.3,12.0,4.5,146.4,149.3,151.6,153.7,164.1,-0.4098360655737654,-5.139882888744296,148.275,2.692427653005743,154.875,3.0081300813008083,5.740432612312807,8.721100380450686,3.2,3.1,3.0,13.0,13.0,13.0,4.5,4.25,2.5,0.09999999999999964,0.0,-0.2894221405201902
2024-04-01,Alemania,2024,2,147.8,149.0,2.569536423841079,3.4,12.0,4.5,145.8,146.4,149.3,151.6,167.4,1.3717421124828544,-2.506596306068587,147.325,1.5607156478156814,152.425,2.718707940780618,3.0081300813008083,6.879954699886737,3.3,3.2,3.0,12.0,13.0,13.0,4.5,4.5,3.5,0.10000000000000009,0.0,-0.14917151693953912
2024-07-01,Alemania,2024,3,149.0,149.2,2.1505376344086,3.5,12.0,4.25,147.8,145.8,146.4,149.3,166.3,0.8119079837618282,-0.20093770931012278,147.25,1.4364307617621956,150.2625,2.569536423841079,2.718707940780618,5.740432612312807,3.4,3.3,3.1,12.0,12.0,13.0,4.5,4.5,4.25,0.10000000000000009,-0.25,-0.41899878943247915
2024-10-01,Alemania,2024,4,149.2,150.9,2.525651144435681,3.4,12.0,3.4,149.0,147.8,145.8,146.4,158.5,0.13422818791946067,1.91256830601092,147.95,1.5609825965301647,149.1,2.1505376344086,2.569536423841079,3.0081300813008083,3.5,3.4,3.2,12.0,12.0,13.0,4.25,4.5,4.5,-0.10000000000000009,-0.8500000000000001,0.37511351002708127
2025-01-01,Alemania,2025,1,150.9,152.4,2.5681341719077544,3.7,11.2,3.15,149.2,149.0,147.8,145.8,153.7,1.1394101876675666,3.4979423868312765,149.225,1.2763881332377345,148.75,2.525651144435681,2.1505376344086,2.718707940780618,3.4,3.5,3.3,12.0,12.0,12.0,3.4,4.25,4.5,0.30000000000000027,-0.25,0.04248302747207333
2025-04-01,Alemania,2025,2,152.4,153.6,2.0919421487603174,3.8,11.2,2.4,150.9,149.2,149.0,147.8,151.6,0.994035785288272,3.112313937753708,150.375,1.5966109941592368,148.85000000000002,2.5681341719077544,2.525651144435681,2.569536423841079,3.7,3.4,3.4,11.2,12.0,12.0,3.15,3.4,4.5,0.09999999999999964,-0.75,-0.476192023147437
2025-07-01,Alemania,2025,3,153.6,153.7,2.1052631578947434,4.0,11.2,2.15,152.4,150.9,149.2,149.0,149.3,0.7874015748031482,3.08724832214764,151.525,1.9032866310683356,149.38750000000002,2.0919421487603174,2.5681341719077544,2.1505376344086,3.8,3.7,3.5,11.2,11.2,12.0,2.4,3.15,4.25,0.20000000000000018,-0.25,0.01332100913442602
2016-01-01,España,2016,1,102.74,104.55,-0.7996760805749625,20.4,10.2,0.05,101.31,101.34,100.67,96.67,95.2,1.4115092290988063,6.279093824350879,101.515,0.8731742857718973,99.21,-0.4797829395804531,-0.5614804478554114,-1.140798558991285,21.0,21.6,23.2,10.3,10.3,10.3,0.05,0.05,0.05,-0.6000000000000014,0.0,-0.31989314099450944
2016-04-01,España,2016,2,104.55,105.41,-1.0376861246541025,20.1,10.2,0.0,102.74,101.31,101.34,100.67,96.78,1.7617286353903028,3.8541770140061438,102.485,1.5298039090026951,100.18125,-0.7996760805749625,-0.4797829395804531,-0.3414313854235185,20.4,21.0,22.5,10.2,10.3,10.3,0.05,0.05,0.05,-0.29999999999999716,-0.05,-0.23801004407913995
2016-07-01,España,2016,3,105.41,105.78,-0.3040427664550704,19.3,10.2,0.0,104.55,102.74,101.31,101.34,96.99,0.8225729316116759,4.016183145845664,103.5025,1.8370515325742134,101.23375,-1.0376861246541025,-0.7996760805749625,-0.5614804478554114,20.1,20.4,21.6,10.2,10.2,10.3,0.0,0.05,0.05,-0.8000000000000007,0.0,0.733643358199032
2016-10-01,España,2016,4,105.78,108.2,0.7946271237157854,18.7,10.2,0.0,105.41,104.55,102.74,101.31,97.18,0.35101034057489766,4.412200177672498,104.61999999999999,1.3551137713613828,102.30875,-0.3040427664550704,-1.0376861246541025,-0.4797829395804531,19.3,20.1,21.0,10.2,10.2,10.3,0.0,0.0,0.05,-0.6000000000000014,0.0,1.0986698901708558
2017-01-01,España,2017,1,108.2,110.39,2.704081632653055,18.1,9.8,0.0,105.78,105.41,104.55,102.74,96.67,2.287767063717161,5.314385828304458,105.985,1.5639799657710645,103.75,0.7946271237157854,-0.3040427664550704,-0.7996760805749625,18.7,19.3,20.4,10.2,10.2,10.2,0.0,0.0,0.05,-0.5999999999999979,0.0,1.9094545089372694
2017-04-01,España,2017,2,110.39,112.43,2.057188509037644,17.4,9.8,0.0,108.2,105.78,105.41,104.55,100.67,2.0240295748613635,5.5858440937350595,107.445,2.3206680072771952,104.965,2.704081632653055,0.7946271237157854,-1.0376861246541025,18.1,18.7,20.1,9.8,10.2,10.2,0.0,0.0,0.0,-0.7000000000000028,0.0,-0.6468931236154107
2017-07-01,España,2017,3,112.43,113.39,1.8465766279030849,16.8,9.8,0.0,110.39,108.2,105.78,105.41,101.34,1.8479934776700846,6.659709704961592,109.20000000000002,2.860384589526356,106.35125,2.057188509037644,2.704081632653055,-0.3040427664550704,17.4,18.1,19.3,9.8,9.8,10.2,0.0,0.0,0.0,-0.5999999999999979,0.0,-0.2106118811345592
2017-10-01,España,2017,4,113.39,114.96,1.553635044201096,16.6,9.8,0.0,112.43,110.39,108.2,105.78,101.31,0.8538646268789307,7.194176592928714,111.1025,2.3041321576679983,107.86125,1.8465766279030849,2.057188509037644,0.7946271237157854,16.8,17.4,18.7,9.8,9.8,10.2,0.0,0.0,0.0,-0.1999999999999993,0.0,-0.29294158370198886
2018-01-01,España,2018,1,114.96,117.9,1.069713528729932,16.1,8.9,0.0,113.39,112.43,110.39,108.2,102.74,1.384601816738673,6.247689463955619,112.7925,1.911236510743686,109.38875,1.553635044201096,1.8465766279030849,2.704081632653055,16.6,16.8,18.1,9.8,9.8,9.8,0.0,0.0,0.0,-0.5,0.0,-0.483921515471164
2018-04-01,España,2018,2,117.9,120.48,1.84285201735217,15.4,8.9,0.0,114.96,113.39,112.43,110.39,104.55,2.557411273486432,6.803152459461903,114.66999999999999,2.3925579059519024,111.05749999999999,1.069713528729932,1.553635044201096,2.057188509037644,16.1,16.6,17.4,8.9,9.8,9.8,0.0,0.0,0.0,-0.7000000000000011,0.0,0.7731384886222381
2018-07-01,España,2018,3,120.48,120.97,2.2639025995393025,14.9,8.9,0.0,117.9,114.96,113.39,112.43,105.41,2.188295165394405,7.160010673307826,116.6825,3.147002542102493,112.94125,1.84285201735217,1.069713528729932,1.8465766279030849,15.4,16.1,16.8,8.9,8.9,9.8,0.0,0.0,0.0,-0.5,0.0,0.4210505821871324
2018-10-01,España,2018,4,120.97,122.88,1.760483320882189,14.5,8.9,0.0,120.48,117.9,114.96,113.39,105.78,0.40670650730412206,6.684892847693802,118.5775,2.762177582994884,114.84,2.2639025995393025,1.84285201735217,1.553635044201096,14.9,15.4,16.6,8.9,8.9,9.8,0.0,0.0,0.0,-0.40000000000000036,0.0,-0.5034192786571134
2019-01-01,España,2019,1,122.88,124.27,1.1304803722393286,14.1,8.5,0.0,120.97,120.48,117.9,114.96,108.2,1.578903860461267,6.889352818371619,120.5575,2.052029483218829,116.675,1.760483320882189,2.2639025995393025,1.069713528729932,14.5,14.9,16.1,8.9,8.9,8.9,0.0,0.0,0.0,-0.40000000000000036,0.0,-0.6300029486428604
2019-04-01,España,2019,2,124.27,126.26,1.06008198821419,14.2,8.5,0.0,122.88,120.97,120.48,117.9,110.39,1.131184895833326,5.40288379983036,122.15,1.7520083713648735,118.41,1.1304803722393286,1.760483320882189,1.84285201735217,14.1,14.5,15.4,8.5,8.9,8.9,0.0,0.0,0.0,0.09999999999999964,0.0,-0.07039838402513854
2019-07-01,España,2019,3,126.26,125.44,0.4343908874445024,14.2,8.5,0.0,124.27,122.88,120.97,120.48,112.43,1.6013518950672045,4.797476759628161,123.595,2.2330621725930206,120.13875,1.06008198821419,1.1304803722393286,2.2639025995393025,14.2,14.1,14.9,8.5,8.5,8.9,0.0,0.0,0.0,0.0,0.0,-0.6256911007696877
2019-10-01,España,2019,4,125.44,126.92,0.501133135433629,13.9,8.5,0.0,126.26,124.27,122.88,120.97,113.39,-0.64945350863298,3.695131024220877,124.71249999999999,1.4694528460164242,121.64500000000001,0.4343908874445024,1.06008198821419,1.760483320882189,14.2,14.2,14.5,8.5,8.5,8.9,0.0,0.0,0.0,-0.29999999999999893,0.0,0.06674224798912665
2020-01-01,España,2020,1,126.92,126.98,0.6901467776949666,13.9,8.2,0.0,125.44,126.26,124.27,122.88,114.96,1.1798469387755084,3.287760416666674,125.7225,1.1419975189694305,123.14,0.501133135433629,0.4343908874445024,1.1304803722393286,13.9,14.2,14.1,8.5,8.5,8.5,0.0,0.0,0.0,0.0,0.0,0.18901364226133754
2020-04-01,España,2020,2,126.98,128.56,-0.6084614165742352,15.5,8.2,0.0,126.92,125.44,126.26,124.27,117.9,0.04727387330603072,2.1807354952925184,126.4,0.7183313998419727,124.275,0.6901467776949666,0.501133135433629,1.06008198821419,13.9,13.9,14.2,8.2,8.5,8.5,0.0,0.0,0.0,1.5999999999999996,0.0,-1.2986081942692018
